ItemID,two_bundle_index,camera_model,deltaN,dic_index,dictIdx_top2,first
18999829018,"[1, 2]",700d,2,CC38,CC,1
45219159638,"[1, 2]",700d,2,DC07,DC,1
36613205733,"[1, 2]",700d,6,CC24,CC,1
36613205733,"[1, 2]",700d,6,XB35,XB,1
41599133465,"[1, 2]",700d,13,UV01,UV,1
41599133465,"[1, 2]",700d,13,MO04,MO,1
41599133465,"[1, 2]",700d,13,XB07,XB,1
41599133465,"[1, 2]",700d,13,DK01,DK,1
41599133465,"[1, 2]",700d,13,MO01,MO,1
41599133465,"[1, 2]",700d,13,FD01,FD,1
41599133465,"[1, 2]",700d,13,ZG01,ZG,1
41599133465,"[1, 2]",700d,13,SP02,SP,1
41599133465,"[1, 2]",700d,13,QT04,QT,1
41599133465,"[1, 2]",700d,13,RG01,RG,1
41599133465,"[1, 2]",700d,13,YK01,YK,1
41599133465,"[1, 2]",700d,13,FW07,FW,1
41599133465,"[1, 2]",700d,13,JC04,JC,1
43859660891,"[1, 2]",700d,2,CC24,CC,1
38708270318,"[1, 2]",700d,2,CC05,CC,1
35540978058,"[1, 2]",700d,4,CC06,CC,1
26519380192,"[1, 2]",700d,3,UV25,UV,1
521513506795,"[1, 2]",700d,2,CC05,CC,1
18053093587,"[1, 2]",700d,2,UV48,UV,1
522033862841,"[1, 2]",700d,2,CC01,CC,1
521870063421,"[1, 2]",700d,2,CC01,CC,1
522097809685,"[1, 2]",700d,2,CC05,CC,1
523776961013,"[1, 2]",700d,2,CC02,CC,1
16831203027,"[1, 2]",700d,2,CC05,CC,1
19999809846,"[1, 2]",700d,2,CC06,CC,1
20167630571,"[1, 2]",700d,4,XB35,XB,1
27462844289,"[1, 2]",700d,4,CC06,CC,1
27462844289,"[1, 2]",700d,4,UV04,UV,1
36910165248,"[1, 2]",700d,2,CC02,CC,1
37994506504,"[1, 2]",700d,2,CC05,CC,1
38663832002,"[1, 2]",700d,2,CC05,CC,1
41802068265,"[1, 2]",700d,4,CC02,CC,1
41802068265,"[1, 2]",700d,4,YK13,YK,1
43736454825,"[1, 2]",700d,2,CC06,CC,1
44231886556,"[1, 2]",700d,9,CC02,CC,1
44231886556,"[1, 2]",700d,9,FW20,FW,1
44799642380,"[1, 2]",700d,2,CC01,CC,1
45293052304,"[1, 2]",700d,2,CC38,CC,1
45410114111,"[1, 2]",700d,2,CC06,CC,1
522145128789,"[1, 2]",700d,3,CC01,CC,1
523084126902,"[1, 2]",700d,2,CC39,CC,1
18820622609,"[1, 2]",700d,3,CC07,CC,1
20186366493,"[1, 2]",700d,3,CC01,CC,1
20373091017,"[1, 2]",700d,2,CC25,CC,1
20728727154,"[1, 2]",700d,6,CC17,CC,1
20728727154,"[1, 2]",700d,6,YK05,YK,1
23896264169,"[1, 2]",700d,4,UV34,UV,1
24319152517,"[1, 2]",700d,4,CC06,CC,1
35674260254,"[1, 2]",700d,2,CC05,CC,1
36982442137,"[1, 2]",700d,4,CC06,CC,1
36982442137,"[1, 2]",700d,4,MO02,MO,1
36982442137,"[1, 2]",700d,4,UV61,UV,1
37745552927,"[1, 2]",700d,5,CC02,CC,1
37870465778,"[1, 2]",700d,5,CC19,CC,1
37870465778,"[1, 2]",700d,5,MO01,MO,1
37870465778,"[1, 2]",700d,5,QT01,QT,1
37870465778,"[1, 2]",700d,5,XB07,XB,1
37870465778,"[1, 2]",700d,5,YK01,YK,1
40148868087,"[1, 2]",700d,2,CC01,CC,1
40175359932,"[1, 2]",700d,2,CC24,CC,1
44069100271,"[1, 2]",700d,2,CC06,CC,1
522086451970,"[1, 2]",700d,2,CC06,CC,1
522743875767,"[1, 2]",700d,2,CC01,CC,1
42681494957,"[1, 2]",700d,7,CC24,CC,1
42681494957,"[1, 2]",700d,7,XB35,XB,1
37443266749,"[1, 2]",700d,2,CC06,CC,1
43452978184,"[1, 2]",700d,5,CC38,CC,1
43452978184,"[1, 2]",700d,5,UV01,UV,1
25673844634,"[1, 2]",700d,8,CC06,CC,1
23924620234,"[1, 2]",700d,4,CC06,CC,1
40452911197,"[1, 2]",700d,2,CC24,CC,1
43853759026,"[1, 2]",700d,2,CC06,CC,1
44881048637,"[1, 2]",700d,4,CC21,CC,1
37241107923,"[1, 2]",700d,3,MO01,MO,1
23969324559,"[1, 2]",700d,7,CC24,CC,1
23969324559,"[1, 2]",700d,7,XB35,XB,1
24291960195,"[1, 2]",700d,3,CC05,CC,1
43426870825,"[1, 2]",700d,4,CC20,CC,1
38631814095,"[1, 2]",700d,7,CC07,CC,1
38631814095,"[1, 2]",700d,7,XB04,XB,1
38631814095,"[1, 2]",700d,7,YK05,YK,1
44331296085,"[1, 2]",700d,3,CC02,CC,1
43473279886,"[1, 2]",700d,2,DC07,DC,1
18999829018,"[1, 3]",700d,2,CC38,CC,1
24596036343,"[1, 3]",700d,5,CC21,CC,1
36613205733,"[1, 3]",700d,7,CC24,CC,1
36613205733,"[1, 3]",700d,7,XB35,XB,1
41599133465,"[1, 3]",700d,13,UV01,UV,1
41599133465,"[1, 3]",700d,13,MO04,MO,1
41599133465,"[1, 3]",700d,13,XB07,XB,1
41599133465,"[1, 3]",700d,13,DK01,DK,1
41599133465,"[1, 3]",700d,13,MO01,MO,1
41599133465,"[1, 3]",700d,13,FD01,FD,1
41599133465,"[1, 3]",700d,13,ZG01,ZG,1
41599133465,"[1, 3]",700d,13,SP02,SP,1
41599133465,"[1, 3]",700d,13,QT04,QT,1
41599133465,"[1, 3]",700d,13,RG01,RG,1
41599133465,"[1, 3]",700d,13,YK01,YK,1
41599133465,"[1, 3]",700d,13,FW07,FW,1
41599133465,"[1, 3]",700d,13,JC04,JC,1
43859660891,"[1, 3]",700d,2,CC24,CC,1
38708270318,"[1, 3]",700d,2,CC05,CC,1
35540978058,"[1, 3]",700d,5,CC06,CC,1
26519380192,"[1, 3]",700d,5,CC07,CC,1
26519380192,"[1, 3]",700d,5,UV25,UV,1
521513506795,"[1, 3]",700d,5,XB35,XB,1
18053093587,"[1, 3]",700d,8,CC06,CC,1
18053093587,"[1, 3]",700d,8,UV48,UV,1
18053093587,"[1, 3]",700d,8,XB35,XB,1
42468840454,"[1, 3]",700d,5,CC38,CC,1
522033862841,"[1, 3]",700d,2,CC01,CC,1
521870063421,"[1, 3]",700d,3,CC01,CC,1
521870063421,"[1, 3]",700d,3,SJ01,SJ,1
522097809685,"[1, 3]",700d,4,XB35,XB,1
16831203027,"[1, 3]",700d,2,CC05,CC,1
19999809846,"[1, 3]",700d,6,CC06,CC,1
19999809846,"[1, 3]",700d,6,XB35,XB,1
20167630571,"[1, 3]",700d,6,CC06,CC,1
20167630571,"[1, 3]",700d,6,XB35,XB,1
27462844289,"[1, 3]",700d,3,CC06,CC,1
37994506504,"[1, 3]",700d,2,CC05,CC,1
38663832002,"[1, 3]",700d,2,CC05,CC,1
39237426326,"[1, 3]",700d,3,CC02,CC,1
41802068265,"[1, 3]",700d,5,CC02,CC,1
41802068265,"[1, 3]",700d,5,XB35,XB,1
43168072227,"[1, 3]",700d,5,CC38,CC,1
43168072227,"[1, 3]",700d,5,XB65,XB,1
43736454825,"[1, 3]",700d,6,CC06,CC,1
43736454825,"[1, 3]",700d,6,XB65,XB,1
44231886556,"[1, 3]",700d,14,BU01,BU,1
44231886556,"[1, 3]",700d,14,CC02,CC,1
