Author,ItemID(LIsting_id),camera_model,two_bundle_index,deltaN,only_in_one,only_in_other,in_both
Jiahao,44021641588,700d,"[1, 2]",1,[],['CC06'],['CC06']
Jiahao,18999829018,700d,"[1, 2]",2,['CC38'],['CC39'],"['CC38', 'CC39']"
Jiahao,24596036343,700d,"[1, 2]",2,[],"['DC08', 'JB01']","['DC08', 'JB01']"
Jiahao,45219159638,700d,"[1, 2]",2,['DC07'],['CC02'],"['DC07', 'CC02']"
Jiahao,40565901878,700d,"[1, 2]",2,[],"['DK15', 'QC02']","['DK15', 'QC02']"
Jiahao,36613205733,700d,"[1, 2]",6,"['CC24', 'XB35']","['CC17', 'XB36', 'EJ01', 'YD01']","['CC24', 'XB35', 'CC17', 'XB36', 'EJ01', 'YD01']"
Jiahao,41599133465,700d,"[1, 2]",13,"['UV01', 'MO04', 'XB07', 'DK01', 'MO01', 'FD01', 'ZG01', 'SP02', 'QT04', 'RG01', 'YK01', 'FW07', 'JC04']",[],"['UV01', 'MO04', 'XB07', 'DK01', 'MO01', 'FD01', 'ZG01', 'SP02', 'QT04', 'RG01', 'YK01', 'FW07', 'JC04']"
Jiahao,43859660891,700d,"[1, 2]",2,['CC24'],['CC21'],"['CC24', 'CC21']"
Jiahao,38708270318,700d,"[1, 2]",2,['CC05'],['CC38'],"['CC05', 'CC38']"
Jiahao,35540978058,700d,"[1, 2]",4,['CC06'],"['CC45', 'UV21', 'DC15']","['CC06', 'CC45', 'UV21', 'DC15']"
Jiahao,26519380192,700d,"[1, 2]",3,['UV25'],"['PZ10', 'DC19']","['UV25', 'PZ10', 'DC19']"
Jiahao,521513506795,700d,"[1, 2]",2,['CC05'],['CC06'],"['CC05', 'CC06']"
Jiahao,18053093587,700d,"[1, 2]",2,['UV48'],['UV30'],"['UV48', 'UV30']"
Jiahao,42468840454,700d,"[1, 2]",2,[],"['MO09', 'YK02']","['MO09', 'YK02']"
Jiahao,522033862841,700d,"[1, 2]",2,['CC01'],['CC02'],"['CC01', 'CC02']"
Jiahao,521870063421,700d,"[1, 2]",2,['CC01'],['CC02'],"['CC01', 'CC02']"
Jiahao,522097809685,700d,"[1, 2]",2,['CC05'],['CC06'],"['CC05', 'CC06']"
Jiahao,523776961013,700d,"[1, 2]",2,['CC02'],['CC33'],"['CC02', 'CC33']"
Jiahao,16831203027,700d,"[1, 2]",2,['CC05'],['CC06'],"['CC05', 'CC06']"
Jiahao,19999809846,700d,"[1, 2]",2,['CC06'],['CC07'],"['CC06', 'CC07']"
Jiahao,20167630571,700d,"[1, 2]",4,['XB35'],"['DC07', 'SP02', 'XB06']","['XB35', 'DC07', 'SP02', 'XB06']"
Jiahao,27462844289,700d,"[1, 2]",4,"['CC06', 'UV04']","['CC07', 'UV46']","['CC06', 'UV04', 'CC07', 'UV46']"
Jiahao,36910165248,700d,"[1, 2]",2,['CC02'],['CC33'],"['CC02', 'CC33']"
Jiahao,37994506504,700d,"[1, 2]",2,['CC05'],['CC38'],"['CC05', 'CC38']"
Jiahao,38663832002,700d,"[1, 2]",2,['CC05'],['CC06'],"['CC05', 'CC06']"
Jiahao,39237426326,700d,"[1, 2]",1,[],['DC10'],['DC10']
Jiahao,41802068265,700d,"[1, 2]",4,"['CC02', 'YK13']","['CC33', 'CC04']","['CC02', 'YK13', 'CC33', 'CC04']"
Jiahao,43168072227,700d,"[1, 2]",1,[],['WD01'],['WD01']
Jiahao,43736454825,700d,"[1, 2]",2,['CC06'],['CC07'],"['CC06', 'CC07']"
