Author,ItemID(LIsting_id),another_bundle_index,diff,only_in_one,only_in_other,in_both
Jiahao,5.23084E+11,2,4,['UV48'],"['UV30', 'DC13', 'YK05']","['UV', 'UV', 'DC', 'YK']"
Jiahao,5.21514E+11,2,9,['CC05'],"['BU01', 'CC06', 'CC38', 'DK01', 'JD03', 'UV02', 'XB05', 'YK01']","['CC', 'BU', 'CC', 'CC', 'DK', 'JD', 'UV', 'XB', 'YK']"
Jiahao,5.23777E+11,2,,[],[],[]
Jiahao,5.22864E+11,2,3,['CC07'],"['CC08', 'DC20']","['CC', 'CC', 'DC']"
Jiahao,5.22744E+11,2,4,"['CC38', 'CC06']","['CC39', 'CC07']","['CC', 'CC', 'CC', 'CC']"
Jiahao,5.22145E+11,2,,[],[],[]
Jiahao,5.22098E+11,2,6,"['XB35', 'CC01']","['DC07', 'SP02', 'CC02', 'SJ01']","['XB', 'CC', 'DC', 'SP', 'CC', 'SJ']"
Jiahao,5.22086E+11,2,,[],[],[]
Jiahao,5.22034E+11,2,8,"['CC25', 'CC17', 'YK05']","['CC26', 'CC16', 'DC22', 'RG01', 'YK01']","['CC', 'CC', 'YK', 'CC', 'CC', 'DC', 'RG', 'YK']"
Jiahao,5.2187E+11,2,4,['UV34'],"['DC06', 'UV41', 'YK02']","['UV', 'DC', 'UV', 'YK']"
Jiahao,45410114111,2,7,"['CC24', 'XB35']","['CC20', 'DC14', 'JB01', 'XB05', 'XN01']","['CC', 'XB', 'CC', 'DC', 'JB', 'XB', 'XN']"
Jiahao,45293052304,2,3,['CC05'],"['CC29', 'UV36']","['CC', 'CC', 'UV']"
Jiahao,45219159638,2,5,['CC06'],"['CC16', 'QT05', 'DC08', 'JB01']","['CC', 'CC', 'QT', 'DC', 'JB']"
Jiahao,44881048637,2,,[],[],[]
Jiahao,44799642380,2,10,"['CC06', 'UV25']","['FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01', 'PZ10', 'DC19']","['CC', 'UV', 'FW', 'SP', 'UV', 'XN', 'XN', 'ZG', 'PZ', 'DC']"
Jiahao,44331296085,2,,[],[],[]
Jiahao,44231886556,2,4,"['CC06', 'UV04']","['CC07', 'UV46']","['CC', 'UV', 'CC', 'UV']"
Jiahao,44069100271,2,4,['CC05'],"['CC45', 'UV21', 'DC15']","['CC', 'CC', 'UV', 'DC']"
Jiahao,44021641588,2,11,[],"['BU01', 'CC05', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01', 'ZG01']","['BU', 'CC', 'DK', 'FD', 'QT', 'SP', 'JD', 'UV', 'WD', 'YK', 'ZG']"
Jiahao,43859660891,2,7,"['CC24', 'XB35']","['UV34', 'ZG01', 'XB36', 'EJ01', 'YD01']","['CC', 'XB', 'UV', 'ZG', 'XB', 'EJ', 'YD']"
Jiahao,43853759026,2,2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,43736454825,2,11,"['CC06', 'UV34', 'UV61', 'MO01', 'XB07']","['CC07', 'CC16', 'UV03', 'UV62', 'DC15', 'MO04']","['CC', 'UV', 'UV', 'MO', 'XB', 'CC', 'CC', 'UV', 'UV', 'DC', 'MO']"
Jiahao,43473279886,2,7,"['BU01', 'CC06', 'DK01', 'FD01', 'FW08']","['XB07', 'YK01']","['BU', 'CC', 'DK', 'FD', 'FW', 'XB', 'YK']"
Jiahao,43452978184,2,5,[],"['BU01', 'CC07', 'DK01', 'FD01', 'FW08']","['BU', 'CC', 'DK', 'FD', 'FW']"
Jiahao,43426870825,2,,[],[],[]
Jiahao,43168072227,2,13,"['CC02', 'CC19', 'CC05', 'CC07', 'XB04', 'YK05']","['CC33', 'DC12', 'UV01', 'CC38', 'CC08', 'FD05', 'XB06']","['CC', 'CC', 'CC', 'CC', 'XB', 'YK', 'CC', 'DC', 'UV', 'CC', 'CC', 'FD', 'XB']"
Jiahao,42981617542,2,4,['CC05'],"['XN07', 'ZG01', 'CC06']","['CC', 'XN', 'ZG', 'CC']"
Jiahao,42681494957,2,2,['CC05'],['CC38'],"['CC', 'CC']"
Jiahao,42468840454,2,2,['CC01'],['DC10'],"['CC', 'DC']"
Jiahao,41802068265,2,2,['CC24'],['CC06'],"['CC', 'CC']"
Jiahao,41599133465,2,,[],[],[]
Jiahao,41583985792,2,,[],[],[]
Jiahao,40565901878,2,,[],[],[]
Jiahao,40452911197,2,2,['CC24'],['CC21'],"['CC', 'CC']"
Jiahao,40175359932,2,14,"['UV01', 'MO04', 'XB07', 'SP02', 'QT04', 'YK01', 'FW07', 'JC04', 'CC02', 'YK13']","['DK15', 'QC02', 'CC33', 'CC04']","['UV', 'MO', 'XB', 'SP', 'QT', 'YK', 'FW', 'JC', 'CC', 'YK', 'DK', 'QC', 'CC', 'CC']"
Jiahao,40148868087,2,2,[],"['MO09', 'YK02']","['MO', 'YK']"
Jiahao,40112687054,2,,[],[],[]
Jiahao,39237426326,2,,[],[],[]
Jiahao,38708270318,2,7,"['CC24', 'XB35']","['CC20', 'DC05', 'JB01', 'XB05', 'XN01']","['CC', 'XB', 'CC', 'DC', 'JB', 'XB', 'XN']"
Jiahao,38663832002,2,2,[],"['DC08', 'JB01']","['DC', 'JB']"
Jiahao,38631814095,2,17,"['DK01', 'FD01', 'MO09', 'FW07', 'FW15', 'GJ04', 'JC02', 'JC04', 'JZ01', 'QT17', 'RG01', 'SP01', 'UV01', 'WJ01', 'XB65', 'YK01', 'ZG01']",[],"['DK', 'FD', 'MO', 'FW', 'FW', 'GJ', 'JC', 'JC', 'JZ', 'QT', 'RG', 'SP', 'UV', 'WJ', 'XB', 'YK', 'ZG']"
Jiahao,37994506504,2,,[],[],[]
Jiahao,37908516066,2,,[],[],[]
Jiahao,37870465778,2,,[],[],[]
Jiahao,37745552927,2,,[],[],[]
Jiahao,37443266749,2,10,"['CC20', 'CC38', 'UV01', 'DC07']","['CC21', 'WD01', 'CC39', 'UV10', 'YK01', 'CC02']","['CC', 'CC', 'UV', 'DC', 'CC', 'WD', 'CC', 'UV', 'YK', 'CC']"
Jiahao,37241107923,2,,[],[],[]
Jiahao,36982442137,2,9,[],"['CC07', 'DK05', 'FD01', 'FD05', 'FH01', 'JC08', 'MO02', 'ND01', 'RG01']","['CC', 'DK', 'FD', 'FD', 'FH', 'JC', 'MO', 'ND', 'RG']"
Jiahao,36910165248,2,2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,36613205733,2,2,['CC24'],['CC21'],"['CC', 'CC']"
Jiahao,36574928690,2,,[],[],[]
Jiahao,36513357018,2,7,"['FD01', 'SP01', 'YK01', 'UV01', 'ZG01', 'GJ01']",['CC06'],"['FD', 'SP', 'YK', 'UV', 'ZG', 'GJ', 'CC']"
Jiahao,35674260254,2,6,['CC06'],"['SP01', 'UV01', 'ZG01', 'GJ01', 'CC07']","['CC', 'SP', 'UV', 'ZG', 'GJ', 'CC']"
Jiahao,35557065616,2,,[],[],[]
Jiahao,35540978058,2,,[],[],[]
Jiahao,27462844289,2,9,"['CC02', 'FW20']","['CC33', 'DC21', 'FD01', 'FW02', 'JB01', 'JD03', 'UV01']","['CC', 'FW', 'CC', 'DC', 'FD', 'FW', 'JB', 'JD', 'UV']"
Jiahao,26519380192,2,3,['CC01'],"['CC33', 'SJ01']","['CC', 'CC', 'SJ']"
Jiahao,25673844634,2,,[],[],[]
Jiahao,24596036343,2,6,"['CC21', 'DC07']","['CC22', 'MO04', 'YK13', 'CC02']","['CC', 'DC', 'CC', 'MO', 'YK', 'CC']"
Jiahao,24319152517,2,2,['DC07'],['CC02'],"['DC', 'CC']"
Jiahao,24291960195,2,8,"['CC38', 'SP02', 'UV60', 'WD01', 'XB07', 'YK01', 'ZG01']",['CC39'],"['CC', 'SP', 'UV', 'WD', 'XB', 'YK', 'ZG', 'CC']"
Jiahao,23969324559,2,5,['CC06'],"['SP02', 'UV60', 'YK01', 'CC07']","['CC', 'SP', 'UV', 'YK', 'CC']"
Jiahao,23924620234,2,,[],[],[]
Jiahao,23896264169,2,2,['CC01'],['CC02'],"['CC', 'CC']"
Jiahao,20728727154,2,2,['CC01'],['CC02'],"['CC', 'CC']"
Jiahao,20373091017,2,,[],[],[]
Jiahao,20186366493,2,2,['CC05'],['CC07'],"['CC', 'CC']"
Jiahao,20167630571,2,,[],[],[]
Jiahao,19999809846,2,4,['CC01'],"['CC06', 'SJ01', 'CC02']","['CC', 'CC', 'SJ', 'CC']"
Jiahao,18999829018,2,,[],[],[]
Jiahao,18820622609,2,15,"['DC01', 'DK01', 'FD01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01']",['CC06'],"['DC', 'DK', 'FD', 'GJ', 'JB', 'JZ', 'QC', 'SJ', 'SP', 'MO', 'UV', 'XB', 'YK', 'ZG', 'CC']"
Jiahao,18352298789,2,23,"['BU04', 'CC07', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']","['DC01', 'GJ01', 'JB01', 'JZ03', 'QC02', 'SJ28', 'SP01', 'MO08', 'UV01', 'XB07', 'YK01', 'ZG01']","['BU', 'CC', 'FP', 'FW', 'FW', 'JZ', 'MO', 'ND', 'QT', 'UV', 'WD', 'DC', 'GJ', 'JB', 'JZ', 'QC', 'SJ', 'SP', 'MO', 'UV', 'XB', 'YK', 'ZG']"
Jiahao,18053093587,2,13,[],"['BU04', 'CC08,CC40,CC46,CC47', 'DK01', 'FD01', 'FP01', 'FW06', 'FW07', 'JZ01', 'MO09', 'ND01', 'QT01', 'UV02', 'WD01']","['BU', 'CC', 'DK', 'FD', 'FP', 'FW', 'FW', 'JZ', 'MO', 'ND', 'QT', 'UV', 'WD']"
Jiahao,16831203027,2,4,"['CC02', 'CC05']","['CC33', 'CC06']","['CC', 'CC', 'CC', 'CC']"
Jiahao,5.23084E+11,3,12,"['CC06', 'UV48', 'XB35', 'DK01', 'MO01', 'UV12', 'XB07']","['CC07', 'UV30', 'XB08', 'ZG07', 'FW03']","['CC', 'UV', 'XB', 'DK', 'MO', 'UV', 'XB', 'CC', 'UV', 'XB', 'ZG', 'FW']"
Jiahao,5.21514E+11,3,9,['CC05'],"['BU01', 'CC07', 'CC40', 'DK01', 'JD03', 'UV02', 'XB05', 'YK01']","['CC', 'BU', 'CC', 'CC', 'DK', 'JD', 'UV', 'XB', 'YK']"
Jiahao,5.23777E+11,3,,[],[],[]
Jiahao,5.22864E+11,3,15,"['CC07', 'JZ02', 'MO04', 'MO10', 'QC02', 'UV38', 'XB06']","['DC13', 'MO01', 'UV12', 'XB07', 'YK05', 'ZG18', 'CC43', 'DC20']","['CC', 'JZ', 'MO', 'MO', 'QC', 'UV', 'XB', 'DC', 'MO', 'UV', 'XB', 'YK', 'ZG', 'CC', 'DC']"
Jiahao,5.22744E+11,3,17,"['CC38', 'CC06', 'UV01', 'WD01', 'XB35', 'YK02', 'ZG01']","['JZ02', 'MO04', 'MO10', 'QC02', 'UV39', 'XB06', 'CC40', 'CC07', 'GJ01', 'QT01']","['CC', 'CC', 'UV', 'WD', 'XB', 'YK', 'ZG', 'JZ', 'MO', 'MO', 'QC', 'UV', 'XB', 'CC', 'CC', 'GJ', 'QT']"
Jiahao,5.22145E+11,3,,[],[],[]
Jiahao,5.22098E+11,3,8,"['CC06', 'XB35', 'CC01']","['CC07', 'DC07', 'SP02', 'CC33', 'SJ01']","['CC', 'XB', 'CC', 'CC', 'DC', 'SP', 'CC', 'SJ']"
Jiahao,5.22086E+11,3,,[],[],[]
Jiahao,5.22034E+11,3,10,"['CC25', 'CC17', 'UV53', 'YK05']","['CC27', 'CC15', 'DC22', 'UV65', 'XN07', 'YK01']","['CC', 'CC', 'UV', 'YK', 'CC', 'CC', 'DC', 'UV', 'XN', 'YK']"
Jiahao,5.2187E+11,3,5,"['CC19', 'UV34']","['CC07', 'UV03', 'YK02']","['CC', 'UV', 'CC', 'UV', 'YK']"
Jiahao,45410114111,3,9,"['CC24', 'XB35']","['CC19', 'DC14', 'JB01', 'ND03', 'RG03', 'XB05', 'XN01']","['CC', 'XB', 'CC', 'DC', 'JB', 'ND', 'RG', 'XB', 'XN']"
Jiahao,45293052304,3,7,"['CC05', 'XB35']","['CC29', 'DC15', 'UV36', 'XB63', 'ZG01']","['CC', 'XB', 'CC', 'DC', 'UV', 'XB', 'ZG']"
Jiahao,45219159638,3,16,"['CC06', 'UV16', 'XB05', 'CC21']","['CC16', 'DC20', 'JB03', 'QT05', 'UV47', 'WD01', 'XB13', 'YK05', 'CC22', 'DC08', 'JB01', 'ZG09']","['CC', 'UV', 'XB', 'CC', 'CC', 'DC', 'JB', 'QT', 'UV', 'WD', 'XB', 'YK', 'CC', 'DC', 'JB', 'ZG']"
Jiahao,44881048637,3,,[],[],[]
Jiahao,44799642380,3,12,"['CC06', 'CC07', 'UV25']","['CC08', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01', 'UV26', 'DC20']","['CC', 'CC', 'UV', 'CC', 'FW', 'SP', 'UV', 'XN', 'XN', 'ZG', 'UV', 'DC']"
Jiahao,44331296085,3,,[],[],[]
Jiahao,44231886556,3,3,['CC06'],"['CC07', 'DC02']","['CC', 'CC', 'DC']"
Jiahao,44069100271,3,7,"['CC06', 'CC05']","['CC45', 'UV21', 'DC15', 'PZ09', 'CC07']","['CC', 'CC', 'CC', 'UV', 'DC', 'PZ', 'CC']"
Jiahao,44021641588,3,11,[],"['BU01', 'CC06', 'DC13', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01']","['BU', 'CC', 'DC', 'DK', 'FD', 'QT', 'SP', 'JD', 'UV', 'WD', 'YK']"
Jiahao,43859660891,3,13,"['CC17', 'ND01', 'CC24', 'XB35']","['ZG01', 'CC16', 'DC07', 'UV31', 'XB60', 'XB36', 'DC14', 'EJ01', 'YD01']","['CC', 'ND', 'CC', 'XB', 'ZG', 'CC', 'DC', 'UV', 'XB', 'XB', 'DC', 'EJ', 'YD']"
Jiahao,43853759026,3,5,[],"['FW01', 'ND01', 'XB60', 'XN01', 'YK01']","['FW', 'ND', 'XB', 'XN', 'YK']"
Jiahao,43736454825,3,18,"['CC06', 'CC19', 'DK05', 'UV34', 'UV61', 'XB06', 'XB35', 'QT01', 'MO01', 'XB07']","['CC39', 'CC07', 'DK01', 'UV57', 'UV62', 'XB08', 'XB69', 'ZG07']","['CC', 'CC', 'DK', 'UV', 'UV', 'XB', 'XB', 'QT', 'MO', 'XB', 'CC', 'CC', 'DK', 'UV', 'UV', 'XB', 'XB', 'ZG']"
Jiahao,43473279886,3,,[],[],[]
Jiahao,43452978184,3,11,"['SJ04', 'SP02', 'UV01', 'XB06', 'YK01', 'ZG03']","['BU01', 'CC08', 'DK01', 'FD01', 'FW08']","['SJ', 'SP', 'UV', 'XB', 'YK', 'ZG', 'BU', 'CC', 'DK', 'FD', 'FW']"
Jiahao,43426870825,3,,[],[],[]
Jiahao,43168072227,3,18,"['CC02', 'CC19', 'MO01', 'CC05', 'CC07', 'DC15', 'QT14', 'SP03', 'UV45', 'XB04', 'XN01', 'YK05']","['CC04', 'DC12', 'RG02', 'SJ03', 'UV01', 'CC39']","['CC', 'CC', 'MO', 'CC', 'CC', 'DC', 'QT', 'SP', 'UV', 'XB', 'XN', 'YK', 'CC', 'DC', 'RG', 'SJ', 'UV', 'CC']"
