,ItemID,two_bundle_index,camera_model,deltaN,dic_index,dictIdx_top2,price,fake_brand_id
0,44021641588,"[1, 2]",700d,1,CC06,CC,22,0
1,18999829018,"[1, 2]",700d,2,CC38,CC,22,0
2,18999829018,"[1, 2]",700d,2,CC39,CC,35,0
3,24596036343,"[1, 2]",700d,2,DC08,DC,60,0
4,24596036343,"[1, 2]",700d,2,JB01,JB,20,0
5,45219159638,"[1, 2]",700d,2,DC07,DC,60,0
6,45219159638,"[1, 2]",700d,2,CC02,CC,25,0
7,40565901878,"[1, 2]",700d,2,DK15,DK,12,0
8,40565901878,"[1, 2]",700d,2,QC02,QC,10,0
9,36613205733,"[1, 2]",700d,6,CC24,CC,15,0
10,36613205733,"[1, 2]",700d,6,XB35,XB,50,0
11,36613205733,"[1, 2]",700d,6,CC17,CC,20,0
12,36613205733,"[1, 2]",700d,6,XB36,XB,50,0
13,36613205733,"[1, 2]",700d,6,EJ01,EJ,10,1
14,36613205733,"[1, 2]",700d,6,YD01,YD,30,0
15,41599133465,"[1, 2]",700d,13,UV01,UV,30,0
16,41599133465,"[1, 2]",700d,13,MO04,MO,10,0
17,41599133465,"[1, 2]",700d,13,XB07,XB,100,0
18,41599133465,"[1, 2]",700d,13,DK01,DK,10,0
19,41599133465,"[1, 2]",700d,13,MO01,MO,25,0
20,41599133465,"[1, 2]",700d,13,FD01,FD,5,0
21,41599133465,"[1, 2]",700d,13,ZG01,ZG,30,0
22,41599133465,"[1, 2]",700d,13,SP02,SP,10,0
23,41599133465,"[1, 2]",700d,13,QT04,QT,10,0
24,41599133465,"[1, 2]",700d,13,RG01,RG,10,0
25,41599133465,"[1, 2]",700d,13,YK01,YK,20,0
26,41599133465,"[1, 2]",700d,13,FW07,FW,,0
27,41599133465,"[1, 2]",700d,13,JC04,JC,,0
28,43859660891,"[1, 2]",700d,2,CC24,CC,15,0
29,43859660891,"[1, 2]",700d,2,CC21,CC,20,0
30,38708270318,"[1, 2]",700d,2,CC05,CC,15,0
31,38708270318,"[1, 2]",700d,2,CC38,CC,22,0
32,35540978058,"[1, 2]",700d,4,CC06,CC,22,0
33,35540978058,"[1, 2]",700d,4,CC45,CC,44,0
34,35540978058,"[1, 2]",700d,4,UV21,UV,30,0
35,35540978058,"[1, 2]",700d,4,DC15,DC,80,0
36,26519380192,"[1, 2]",700d,3,UV25,UV,30,1
37,26519380192,"[1, 2]",700d,3,PZ10,PZ,unknown,0
38,26519380192,"[1, 2]",700d,3,DC19,DC,30,0
39,5.21514E+11,"[1, 2]",700d,2,CC05,CC,15,0
40,5.21514E+11,"[1, 2]",700d,2,CC06,CC,22,0
41,18053093587,"[1, 2]",700d,2,UV48,UV,40,1
42,18053093587,"[1, 2]",700d,2,UV30,UV,35,1
43,42468840454,"[1, 2]",700d,2,MO09,MO,20,0
44,42468840454,"[1, 2]",700d,2,YK02,YK,20,0
45,5.22034E+11,"[1, 2]",700d,2,CC01,CC,20,0
46,5.22034E+11,"[1, 2]",700d,2,CC02,CC,25,0
47,5.2187E+11,"[1, 2]",700d,2,CC01,CC,20,0
48,5.2187E+11,"[1, 2]",700d,2,CC02,CC,25,0
49,5.22098E+11,"[1, 2]",700d,2,CC05,CC,15,0
50,5.22098E+11,"[1, 2]",700d,2,CC06,CC,22,0
51,5.23777E+11,"[1, 2]",700d,2,CC02,CC,25,0
52,5.23777E+11,"[1, 2]",700d,2,CC33,CC,30,0
53,16831203027,"[1, 2]",700d,2,CC05,CC,15,0
54,16831203027,"[1, 2]",700d,2,CC06,CC,22,0
55,19999809846,"[1, 2]",700d,2,CC06,CC,22,0
56,19999809846,"[1, 2]",700d,2,CC07,CC,33,0
57,20167630571,"[1, 2]",700d,4,XB35,XB,50,0
58,20167630571,"[1, 2]",700d,4,DC07,DC,60,0
59,20167630571,"[1, 2]",700d,4,SP02,SP,10,0
60,20167630571,"[1, 2]",700d,4,XB06,XB,50,1
61,27462844289,"[1, 2]",700d,4,CC06,CC,22,0
62,27462844289,"[1, 2]",700d,4,UV04,UV,30,0
63,27462844289,"[1, 2]",700d,4,CC07,CC,33,0
64,27462844289,"[1, 2]",700d,4,UV46,UV,40,0
65,36910165248,"[1, 2]",700d,2,CC02,CC,25,0
66,36910165248,"[1, 2]",700d,2,CC33,CC,30,0
67,37994506504,"[1, 2]",700d,2,CC05,CC,15,0
68,37994506504,"[1, 2]",700d,2,CC38,CC,22,0
69,38663832002,"[1, 2]",700d,2,CC05,CC,15,0
70,38663832002,"[1, 2]",700d,2,CC06,CC,22,0
71,39237426326,"[1, 2]",700d,1,DC10,DC,60,0
72,41802068265,"[1, 2]",700d,4,CC02,CC,25,0
73,41802068265,"[1, 2]",700d,4,YK13,YK,10,0
74,41802068265,"[1, 2]",700d,4,CC33,CC,30,0
75,41802068265,"[1, 2]",700d,4,CC04,CC,55,0
76,43168072227,"[1, 2]",700d,1,WD01,WD,15,0
77,43736454825,"[1, 2]",700d,2,CC06,CC,22,0
78,43736454825,"[1, 2]",700d,2,CC07,CC,33,0
79,44231886556,"[1, 2]",700d,9,CC02,CC,25,0
80,44231886556,"[1, 2]",700d,9,FW20,FW,,0
81,44231886556,"[1, 2]",700d,9,CC33,CC,30,0
82,44231886556,"[1, 2]",700d,9,DC21,DC,50,0
83,44231886556,"[1, 2]",700d,9,FD01,FD,5,0
84,44231886556,"[1, 2]",700d,9,FW02,FW,,0
85,44231886556,"[1, 2]",700d,9,JB01,JB,20,0
86,44231886556,"[1, 2]",700d,9,JD03,JD,20,0
87,44231886556,"[1, 2]",700d,9,UV01,UV,30,0
88,44799642380,"[1, 2]",700d,2,CC01,CC,20,0
89,44799642380,"[1, 2]",700d,2,CC02,CC,25,0
90,45293052304,"[1, 2]",700d,2,CC38,CC,22,0
91,45293052304,"[1, 2]",700d,2,CC39,CC,35,0
92,45410114111,"[1, 2]",700d,2,CC06,CC,22,0
93,45410114111,"[1, 2]",700d,2,CC07,CC,33,0
94,5.22145E+11,"[1, 2]",700d,3,CC01,CC,20,0
95,5.22145E+11,"[1, 2]",700d,3,CC06,CC,22,0
96,5.22145E+11,"[1, 2]",700d,3,SJ01,SJ,35,0
97,5.23084E+11,"[1, 2]",700d,2,CC07,CC,33,0
98,5.23084E+11,"[1, 2]",700d,2,"CC08,CC40,CC46,CC47",CC,,
99,18820622609,"[1, 2]",700d,3,CC07,CC,33,0
100,18820622609,"[1, 2]",700d,3,CC08,CC,55,0
101,18820622609,"[1, 2]",700d,3,DC20,DC,100,0
102,20186366493,"[1, 2]",700d,3,CC01,CC,20,0
103,20186366493,"[1, 2]",700d,3,CC02,CC,25,0
104,20186366493,"[1, 2]",700d,3,SJ01,SJ,35,0
105,20373091017,"[1, 2]",700d,2,CC25,CC,40,0
106,20373091017,"[1, 2]",700d,2,CC26,CC,55,0
107,20728727154,"[1, 2]",700d,6,CC17,CC,20,0
108,20728727154,"[1, 2]",700d,6,YK05,YK,15,0
109,20728727154,"[1, 2]",700d,6,CC16,CC,50,0
110,20728727154,"[1, 2]",700d,6,DC22,DC,50,0
111,20728727154,"[1, 2]",700d,6,RG01,RG,10,0
112,20728727154,"[1, 2]",700d,6,YK01,YK,20,0
