Author,ItemID(LIsting_id),two_bundle_index,diff,only_in_one,only_in_other,in_both
Jiahao,44021641588,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,18999829018,"[2, 3]",2,['CC39'],['CC40'],"['CC', 'CC']"
Jiahao,24596036343,"[2, 3]",3,['CC21'],"['CC22', 'ZG09']","['CC', 'CC', 'ZG']"
Jiahao,45219159638,"[2, 3]",1,[],['DC07'],['DC']
Jiahao,40565901878,"[2, 3]",4,[],"['UV19', 'CC07', 'XB65', 'DC20']","['UV', 'CC', 'XB', 'DC']"
Jiahao,36613205733,"[2, 3]",3,['CC17'],"['CC16', 'DC14']","['CC', 'CC', 'DC']"
Jiahao,41599133465,[],,[],[],[]
Jiahao,43859660891,"[2, 3]",2,['CC21'],['CC22'],"['CC', 'CC']"
Jiahao,38708270318,"[2, 3]",2,['CC38'],['CC39'],"['CC', 'CC']"
Jiahao,35540978058,"[2, 3]",1,[],['PZ09'],['PZ']
Jiahao,26519380192,"[2, 3]",6,"['CC07', 'PZ10', 'DC19']","['CC08', 'UV26', 'DC20']","['CC', 'PZ', 'DC', 'CC', 'UV', 'DC']"
Jiahao,521513506795,"[2, 3]",7,"['CC06', 'XB35']","['CC05', 'XB05', 'DC14', 'RG03', 'YK01']","['CC', 'XB', 'CC', 'XB', 'DC', 'RG', 'YK']"
Jiahao,18053093587,"[2, 3]",6,"['CC06', 'XB35']","['CC07', 'XB08', 'ZG07', 'FW03']","['CC', 'XB', 'CC', 'XB', 'ZG', 'FW']"
Jiahao,42468840454,"[2, 3]",3,['CC38'],"['CC07', 'GJ04']","['CC', 'CC', 'GJ']"
Jiahao,522033862841,"[2, 3]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,521870063421,"[2, 3]",3,"['CC02', 'SJ01']",['CC33'],"['CC', 'SJ', 'CC']"
Jiahao,522097809685,"[2, 3]",6,"['CC06', 'XB35']","['CC05', 'XB05', 'DC21', 'MO09']","['CC', 'XB', 'CC', 'XB', 'DC', 'MO']"
Jiahao,523776961013,"[2, 3]",6,['CC33'],"['CC02', 'XN01', 'YK01', 'XB60', 'ND01']","['CC', 'CC', 'XN', 'YK', 'XB', 'ND']"
Jiahao,16831203027,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,19999809846,"[2, 3]",4,['XB35'],"['GJ01', 'QT01', 'XB60']","['XB', 'GJ', 'QT', 'XB']"
Jiahao,20167630571,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,27462844289,"[2, 3]",3,['UV46'],"['DC02', 'UV04']","['UV', 'DC', 'UV']"
Jiahao,36910165248,"[2, 3]",7,['CC33'],"['CC02', 'FW01', 'ND01', 'XB60', 'XN01', 'YK01']","['CC', 'CC', 'FW', 'ND', 'XB', 'XN', 'YK']"
Jiahao,37994506504,"[2, 3]",2,['CC38'],['CC39'],"['CC', 'CC']"
Jiahao,38663832002,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,39237426326,"[2, 3]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,41802068265,"[2, 3]",7,"['CC33', 'XB35', 'CC04']","['QT04', 'WD01', 'XB07', 'YK13']","['CC', 'XB', 'CC', 'QT', 'WD', 'XB', 'YK']"
Jiahao,43168072227,"[2, 3]",4,"['CC38', 'XB65']","['CC07', 'XB06']","['CC', 'XB', 'CC', 'XB']"
Jiahao,43736454825,"[2, 3]",4,['XB65'],"['QT04', 'WD05', 'XB05']","['XB', 'QT', 'WD', 'XB']"
Jiahao,44231886556,"[2, 3]",9,"['BU01', 'CC33', 'JB01', 'QC02']","['CC04', 'PZ01', 'QT03', 'RG02', 'SJ01']","['BU', 'CC', 'JB', 'QC', 'CC', 'PZ', 'QT', 'RG', 'SJ']"
Jiahao,44799642380,"[2, 3]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,45293052304,"[2, 3]",2,['CC39'],['CC40'],"['CC', 'CC']"
Jiahao,45410114111,"[2, 3]",2,['CC07'],"['CC08,CC40,CC46,CC47']","['CC', 'CC']"
Jiahao,522145128789,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,523084126902,"[2, 3]",3,"['CC08,CC40,CC46,CC47']","['CC07', 'DC21']","['CC', 'CC', 'DC']"
Jiahao,18820622609,"[2, 3]",4,"['CC08', 'UV38']","['CC43', 'UV39']","['CC', 'UV', 'CC', 'UV']"
Jiahao,20186366493,"[2, 3]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,20373091017,"[2, 3]",2,['CC26'],['CC27'],"['CC', 'CC']"
Jiahao,20728727154,"[2, 3]",6,"['CC16', 'RG01', 'UV53']","['CC15', 'UV65', 'XN07']","['CC', 'RG', 'UV', 'CC', 'UV', 'XN']"
Jiahao,23896264169,"[2, 3]",5,"['CC19', 'DC06', 'UV41']","['CC07', 'UV03']","['CC', 'DC', 'UV', 'CC', 'UV']"
Jiahao,24319152517,"[2, 3]",8,"['UV16', 'XB05']","['DC20', 'JB03', 'UV47', 'WD01', 'XB13', 'YK05']","['UV', 'XB', 'DC', 'JB', 'UV', 'WD', 'XB', 'YK']"
Jiahao,35674260254,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,36982442137,"[2, 3]",12,"['CC16', 'DK05', 'DK08', 'MO02', 'RG02', 'UV03', 'XB06', 'XB35', 'YK01']","['DK01', 'XB08', 'ZG07']","['CC', 'DK', 'DK', 'MO', 'RG', 'UV', 'XB', 'XB', 'YK', 'DK', 'XB', 'ZG']"
Jiahao,37745552927,"[2, 3]",4,['CC33'],"['CC04', 'RG02', 'SJ03']","['CC', 'CC', 'RG', 'SJ']"
Jiahao,37870465778,[],,[],[],[]
Jiahao,40112687054,[],,[],[],[]
Jiahao,40148868087,"[2, 3]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,40175359932,"[2, 3]",2,['CC06'],['CC07'],"['CC', 'CC']"
Jiahao,42981617542,"[2, 3]",3,['CC21'],"['CC22', 'ZG09']","['CC', 'CC', 'ZG']"
Jiahao,44069100271,"[2, 3]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,522086451970,"[2, 3]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,522743875767,"[2, 3]",2,['CC02'],['CC33'],"['CC', 'CC']"
Jiahao,42681494957,"[2, 3]",4,['CC20'],"['CC19', 'ND03', 'RG03']","['CC', 'CC', 'ND', 'RG']"
Jiahao,37443266749,"[2, 3]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,43452978184,"[2, 3]",2,['YK01'],['SJ09'],"['YK', 'SJ']"
Jiahao,25673844634,"[2, 3]",2,['CC07'],['CC08'],"['CC', 'CC']"
Jiahao,23924620234,"[2, 3]",2,['CC38'],['CC40'],"['CC', 'CC']"
Jiahao,40452911197,"[2, 3]",2,['CC21'],['CC22'],"['CC', 'CC']"
