Author,ItemID(LIsting_id),another_bundle_index,diff,only_in_one,only_in_other,in_both
Jiahao,5.23084E+11,2,4,['UV48'],"['UV30', 'DC13', 'YK05']","['UV48', 'UV30', 'DC13', 'YK05']"
Jiahao,5.21514E+11,2,9,['CC05'],"['BU01', 'CC06', 'CC38', 'DK01', 'JD03', 'UV02', 'XB05', 'YK01']","['CC05', 'BU01', 'CC06', 'CC38', 'DK01', 'JD03', 'UV02', 'XB05', 'YK01']"
Jiahao,5.23777E+11,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,5.22864E+11,2,3,['CC07'],"['CC08', 'DC20']","['CC07', 'CC08', 'DC20']"
Jiahao,5.22744E+11,2,4,"['CC38', 'CC06']","['CC39', 'CC07']","['CC38', 'CC06', 'CC39', 'CC07']"
Jiahao,5.22145E+11,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,5.22098E+11,2,6,"['XB35', 'CC01']","['DC07', 'SP02', 'CC02', 'SJ01']","['XB35', 'CC01', 'DC07', 'SP02', 'CC02', 'SJ01']"
Jiahao,5.22086E+11,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,5.22034E+11,2,8,"['CC25', 'CC17', 'YK05']","['CC26', 'CC16', 'DC22', 'RG01', 'YK01']","['CC25', 'CC17', 'YK05', 'CC26', 'CC16', 'DC22', 'RG01', 'YK01']"
Jiahao,5.2187E+11,2,4,['UV34'],"['DC06', 'UV41', 'YK02']","['UV34', 'DC06', 'UV41', 'YK02']"
Jiahao,45410114111,2,7,"['CC24', 'XB35']","['CC20', 'DC14', 'JB01', 'XB05', 'XN01']","['CC24', 'XB35', 'CC20', 'DC14', 'JB01', 'XB05', 'XN01']"
Jiahao,45293052304,2,3,['CC05'],"['CC29', 'UV36']","['CC05', 'CC29', 'UV36']"
Jiahao,45219159638,2,5,['CC06'],"['CC16', 'QT05', 'DC08', 'JB01']","['CC06', 'CC16', 'QT05', 'DC08', 'JB01']"
Jiahao,44881048637,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,44799642380,2,10,"['CC06', 'UV25']","['FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01', 'PZ10', 'DC19']","['CC06', 'UV25', 'FW01', 'SP02', 'UV01', 'XN01', 'XN07', 'ZG01', 'PZ10', 'DC19']"
Jiahao,44331296085,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,44231886556,2,4,"['CC06', 'UV04']","['CC07', 'UV46']","['CC06', 'UV04', 'CC07', 'UV46']"
Jiahao,44069100271,2,4,['CC05'],"['CC45', 'UV21', 'DC15']","['CC05', 'CC45', 'UV21', 'DC15']"
Jiahao,44021641588,2,11,[],"['BU01', 'CC05', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01', 'ZG01']","['BU01', 'CC05', 'DK01', 'FD01', 'QT01', 'SP01', 'JD03', 'UV29', 'WD01', 'YK01', 'ZG01']"
Jiahao,43859660891,2,7,"['CC24', 'XB35']","['UV34', 'ZG01', 'XB36', 'EJ01', 'YD01']","['CC24', 'XB35', 'UV34', 'ZG01', 'XB36', 'EJ01', 'YD01']"
Jiahao,43853759026,2,2,['CC02'],['CC33'],"['CC02', 'CC33']"
Jiahao,43736454825,2,11,"['CC06', 'UV34', 'UV61', 'MO01', 'XB07']","['CC07', 'CC16', 'UV03', 'UV62', 'DC15', 'MO04']","['CC06', 'UV34', 'UV61', 'MO01', 'XB07', 'CC07', 'CC16', 'UV03', 'UV62', 'DC15', 'MO04']"
Jiahao,43473279886,2,7,"['BU01', 'CC06', 'DK01', 'FD01', 'FW08']","['XB07', 'YK01']","['BU01', 'CC06', 'DK01', 'FD01', 'FW08', 'XB07', 'YK01']"
Jiahao,43452978184,2,5,[],"['BU01', 'CC07', 'DK01', 'FD01', 'FW08']","['BU01', 'CC07', 'DK01', 'FD01', 'FW08']"
Jiahao,43426870825,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,43168072227,2,13,"['CC02', 'CC19', 'CC05', 'CC07', 'XB04', 'YK05']","['CC33', 'DC12', 'UV01', 'CC38', 'CC08', 'FD05', 'XB06']","['CC02', 'CC19', 'CC05', 'CC07', 'XB04', 'YK05', 'CC33', 'DC12', 'UV01', 'CC38', 'CC08', 'FD05', 'XB06']"
Jiahao,42981617542,2,4,['CC05'],"['XN07', 'ZG01', 'CC06']","['CC05', 'XN07', 'ZG01', 'CC06']"
Jiahao,42681494957,2,2,['CC05'],['CC38'],"['CC05', 'CC38']"
Jiahao,42468840454,2,2,['CC01'],['DC10'],"['CC01', 'DC10']"
Jiahao,41802068265,2,2,['CC24'],['CC06'],"['CC24', 'CC06']"
Jiahao,41599133465,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,41583985792,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,40565901878,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,40452911197,2,2,['CC24'],['CC21'],"['CC24', 'CC21']"
Jiahao,40175359932,2,14,"['UV01', 'MO04', 'XB07', 'SP02', 'QT04', 'YK01', 'FW07', 'JC04', 'CC02', 'YK13']","['DK15', 'QC02', 'CC33', 'CC04']","['UV01', 'MO04', 'XB07', 'SP02', 'QT04', 'YK01', 'FW07', 'JC04', 'CC02', 'YK13', 'DK15', 'QC02', 'CC33', 'CC04']"
Jiahao,40148868087,2,2,[],"['MO09', 'YK02']","['MO09', 'YK02']"
Jiahao,40112687054,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,39237426326,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,38708270318,2,7,"['CC24', 'XB35']","['CC20', 'DC05', 'JB01', 'XB05', 'XN01']","['CC24', 'XB35', 'CC20', 'DC05', 'JB01', 'XB05', 'XN01']"
Jiahao,38663832002,2,2,[],"['DC08', 'JB01']","['DC08', 'JB01']"
Jiahao,38631814095,2,17,"['DK01', 'FD01', 'MO09', 'FW07', 'FW15', 'GJ04', 'JC02', 'JC04', 'JZ01', 'QT17', 'RG01', 'SP01', 'UV01', 'WJ01', 'XB65', 'YK01', 'ZG01']",[],"['DK01', 'FD01', 'MO09', 'FW07', 'FW15', 'GJ04', 'JC02', 'JC04', 'JZ01', 'QT17', 'RG01', 'SP01', 'UV01', 'WJ01', 'XB65', 'YK01', 'ZG01']"
Jiahao,37994506504,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,37908516066,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,37870465778,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,37745552927,2,bundle_index = 1 does not exist,[],[],[]
Jiahao,37443266749,2,10,"['CC20', 'CC38', 'UV01', 'DC07']","['CC21', 'WD01', 'CC39', 'UV10', 'YK01', 'CC02']","['CC20', 'CC38', 'UV01', 'DC07', 'CC21', 'WD01', 'CC39', 'UV10', 'YK01', 'CC02']"
Jiahao,37241107923,2,bundle_index = 2 does not exist,[],[],[]
Jiahao,36982442137,2,9,[],"['CC07', 'DK05', 'FD01', 'FD05', 'FH01', 'JC08', 'MO02', 'ND01', 'RG01']","['CC07', 'DK05', 'FD01', 'FD05', 'FH01', 'JC08', 'MO02', 'ND01', 'RG01']"
Jiahao,36910165248,2,2,['CC06'],['CC07'],"['CC06', 'CC07']"
Jiahao,36613205733,2,2,['CC24'],['CC21'],"['CC24', 'CC21']"
Jiahao,36574928690,2,bundle_index = 1 does not exist,[],[],[]
