bundle_index,dic_index
2,CC
2,CC
2,CC
2,DC
2,JB
2,DC
2,CC
2,DK
2,QC
2,CC
2,XB
2,CC
2,XB
2,EJ
2,YD
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,UV
2,DC
2,UV
2,PZ
2,DC
2,CC
2,CC
2,UV
2,UV
2,MO
2,YK
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,XB
2,DC
2,SP
2,XB
2,CC
2,UV
2,CC
2,UV
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,DC
2,CC
2,YK
2,CC
2,CC
2,WD
2,CC
2,CC
2,CC
2,FW
2,CC
2,DC
2,FD
2,FW
2,JB
2,JD
2,UV
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,SJ
2,CC
2,CC
2,CC
2,CC
2,DC
2,CC
2,CC
2,SJ
2,CC
2,CC
2,CC
2,YK
2,CC
2,DC
2,RG
2,YK
2,UV
2,DC
2,UV
2,YK
2,CC
2,CC
2,FD
2,QT
2,CC
2,CC
2,CC
2,UV
2,CC
2,CC
2,DK
2,RG
2,UV
2,UV
2,WD
2,XB
2,YK
2,CC
2,CC
2,DC
2,FD
2,UV
2,CC
2,CC
2,CC
2,CC
2,DC
2,JB
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,XB
2,CC
2,DC
2,JB
2,XB
2,XN
2,CC
2,CC
2,CC
2,UV
2,CC
2,UV
2,YK
2,CC
2,CC
2,FW
2,SP
2,UV
2,XN
2,XN
2,ZG
2,CC
2,CC
2,ND
2,YK
2,CC
2,CC
2,CC
2,CC
2,CC
2,CC
2,MO
2,YK
2,CC
2,BU
2,CC
2,DK
2,FD
2,QT
2,SP
2,JD
2,UV
2,WD
2,YK
2,ZG
2,DC
2,YK
2,MO
2,DC
2,MO
2,CC
2,XB
2,CC
2,DC
2,JB
2,XB
2,XN
2,CC
2,CC
2,UV
2,CC
2,CC
2,DK
2,WD
2,CC
2,XB
2,YK
2,CC
2,FD
2,XB
2,XN
2,UV
2,ZG
2,CC
2,CC
2,SJ
2,DC
2,CC
3,CC
3,CC
3,CC
3,CC
3,CC
3,DC
3,JB
3,ZG
3,CC
3,DK
3,QC
3,UV
3,CC
3,XB
3,DC
3,CC
3,XB
3,CC
3,XB
3,DC
3,EJ
3,YD
3,CC
3,CC
3,CC
3,CC
3,CC
3,CC
3,UV
3,DC
3,PZ
3,CC
3,UV
3,CC
3,UV
3,DC
3,XB
3,XB
3,DC
3,RG
3,YK
3,CC
3,UV
3,XB
3,CC
3,UV
3,XB
3,ZG
3,FW
3,CC
3,CC
3,MO
3,YK
3,GJ
3,CC
3,CC
3,CC
3,SJ
3,CC
3,XB
3,XB
3,DC
3,MO
3,XN
3,YK
3,XB
3,ND
3,CC
3,CC
3,CC
3,XB
3,CC
3,GJ
3,QT
3,XB
3,CC
3,XB
3,CC
3,DC
3,SP
3,XB
3,CC
3,CC
3,DC
3,FW
3,ND
3,XB
3,XN
3,YK
