,Author,ItemID(LIsting_id),Listing_title,URL,feature1_700d,feature2_Lense_edition,feature3,feature4,bundle_index,bundle_price,price_include_camera_or_not,accessory_total_price_only,Accessory_title,dict_index,gift_or_not,accessory_ask_seller_or_not,ask_title,services_or_not,brand,ind_brand,num_of_sizes,num_of_colors,Comments,sort number,chat_history,dict_index_alternative
0,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,0.0,2980.0,1.0,,,,,0.0,0.0,0.0,,0,,,,1.0,,
1,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,700D行货原装电池,DC01,1.0,0.0,0.0,0.0,,0,,,,2.0,,
2,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,专用相机包,XB07,0.0,0.0,0.0,0.0,,0,,,,3.0,,
3,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,高清贴膜,MO08,0.0,0.0,0.0,0.0,,0,,,,4.0,,
4,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,品牌高速读卡器,DK03,0.0,0.0,0.0,0.0,,0,,,,5.0,,
5,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,镜头擦布,BU07,0.0,0.0,0.0,0.0,,0,,,,6.0,,
6,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,八爪鱼相机架,SJ28,0.0,0.0,0.0,0.0,,0,,,,7.0,,
7,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,专用清洁笔,JB04,0.0,0.0,0.0,0.0,,0,,,,8.0,,
8,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,清洁气吹,QC02,0.0,0.0,0.0,0.0,,0,,,,9.0,,
9,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,擦镜纸,JZ03,0.0,0.0,0.0,0.0,,0,,,,10.0,,
10,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,镜头盖防丢绳,FD01,0.0,0.0,0.0,0.0,,0,,,,11.0,,
11,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,水平仪,SP01,0.0,0.0,0.0,0.0,,0,,,,12.0,,
12,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,无线遥控器,YK01,1.0,0.0,0.0,0.0,,0,,,,13.0,,
13,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,对应镜头的专用UV镜,UV01,1.0,0.0,0.0,0.0,,0,,,,14.0,,
14,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,遮光罩,ZG01,1.0,0.0,0.0,0.0,,0,,,,15.0,,
15,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,1.0,3180.0,1.0,,星光镜,GJ01,1.0,0.0,0.0,0.0,,0,,,,16.0,,
16,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,2.0,3220.0,1.0,,原装高速C10闪迪8G卡,CC06,0.0,0.0,0.0,0.0,,0,,,,17.0,,
17,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,2.0,3220.0,1.0,,700D行货原装电池,DC01,1.0,0.0,0.0,0.0,,0,,,,18.0,,
18,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,2.0,3220.0,1.0,,专用相机包,XB07,0.0,0.0,0.0,0.0,,0,,,,19.0,,
19,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,2.0,3220.0,1.0,,高清贴膜,MO08,0.0,0.0,0.0,0.0,,0,,,,20.0,,
20,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,2.0,3220.0,1.0,,品牌高速读卡器,DK03,0.0,0.0,0.0,0.0,,0,,,,21.0,,
21,Juexiao,44021641588.0,Canon/佳能 EOS 700D 套机 18-55STM 专业单反相机 正品全国联保,http://world.taobao.com/item/44021641588.htm#detail,国行,18-55,,,2.0,3220.0,1.0,,镜头擦布,BU07,0.0,0.0,0.0,0.0,,0,,,,22.0,,
