,Unnamed: 0,Author,ItemID(LIsting_id),Listing_title,URL,feature1_700d,feature2_Lense_edition,feature3,feature4,bundle_index,bundle_price,price_include_camera_or_not,accessory_total_price_only,Accessory_title,dict_index,gift_or_not,accessory_ask_seller_or_not,ask_title,services_or_not,brand,ind_brand,num_of_sizes,num_of_colors,Comments,sort number,chat_history,dict_index_alternative
0,0,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,0,2980.0,1,,,,,0.0,0.0,0.0,,0,,,,1,,
1,1,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,700D??????,DC01,1.0,0.0,0.0,0.0,,0,,,,2,,
2,2,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,?????,XB07,0.0,0.0,0.0,0.0,,0,,,,3,,
3,3,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,????,MO08,0.0,0.0,0.0,0.0,,0,,,,4,,
4,4,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,???????,DK03,0.0,0.0,0.0,0.0,,0,,,,5,,
5,5,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,????,BU07,0.0,0.0,0.0,0.0,,0,,,,6,,
6,6,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,??????,SJ28,0.0,0.0,0.0,0.0,,0,,,,7,,
7,7,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,?????,JB04,0.0,0.0,0.0,0.0,,0,,,,8,,
8,8,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,????,QC02,0.0,0.0,0.0,0.0,,0,,,,9,,
9,9,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,???,JZ03,0.0,0.0,0.0,0.0,,0,,,,10,,
10,10,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,??????,FD01,0.0,0.0,0.0,0.0,,0,,,,11,,
11,11,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,???,SP01,0.0,0.0,0.0,0.0,,0,,,,12,,
12,12,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,?????,YK01,1.0,0.0,0.0,0.0,,0,,,,13,,
13,13,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,???????UV?,UV01,1.0,0.0,0.0,0.0,,0,,,,14,,
14,14,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,???,ZG01,1.0,0.0,0.0,0.0,,0,,,,15,,
15,15,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,1,3180.0,1,,???,GJ01,1.0,0.0,0.0,0.0,,0,,,,16,,
16,16,Juexiao,44021641588.0,Canon/?? EOS 700D ?? 18-55STM ?????? ??????,http://world.taobao.com/item/44021641588.htm#detail,??,18-55,,,2,3220.0,1,,????C10??8G?,CC06,0.0,0.0,0.0,0.0,,0,,,,17,,
