dict_yi_index,price_lower_bound,price_upper_bound,
BD01,,,
BD02,5,150,
BD03,20,220,
BD04,10,99,
BD05,10,99,
BD06,2,65,
BJ01,1,60,
BU01,1,50,
BU02,,,
BU04,1,10,
BU05,0,15,
BU06,1,20,
BU07,,,
CC01,10,45,
CC02,15,50,
CC03,60,280,
CC04,30,120,
CC05,8,25,
CC06,10,50,
CC07,35,60,
CC08,75,100,
CC09,160,250,
CC10,180,320,
CC11,80,200,
CC12,50,110,
CC13,80,160,
CC14,200,350,
CC15,40,80,
CC16,20,50,
CC17,15,30,
CC18,30,80,
CC19,20,50,
CC20,10,30,
CC21,10,20,
CC22,20,35,
CC23,50,135,
CC24,10,20,
CC25,20,50,
CC26,20,50,
CC27,60,100,
CC29,,,
CC30,,,
CC31,40,60,
CC32,,,
CC33,15,50,
CC38,20,35,
CC39,20,40,
CC40,60,90,
CC43,90,150,
CC44,280,350,
CC45,25,50,
CC46,50,80,
CC47,60,150,
CC51,,,
CD01,15,150,
CD02,10,150,
CD03,20,200,
DC01,,,
DC02,120,250,
DC03,40,100,
DC04,100,300,
DC06,50,120,
DC07,,,
DC08,,,
DC10,,,
DC13,10,90,
DC14,,,
DC15,20,65,
DC16,,,
DC17,,,
DC18,,,
DC19,20,60,
DC20,45,80,
DC21,,,
DC22,,,
DC23,,,
DK01,5,55,
DK02,,,
DK03,,,
DK04,,,
DK05,2,55,
DK06,,,
DK07,,,
DK08,,,
DK09,2,15,
DK10,,,
DK11,,,
DK12,5,50,
DK13,6,50,
DK14,8,50,
DK15,5,50,
DK16,2,50,
DK17,10,30,
DK18,,,
DK19,,,
DK20,,,
DK21,,,
DZ01,2,50,
DZ02,5,100,
DZ03,,,
EJ01,,,
EJ02,20,60,
EJ03,5,60,
FC01,0,20,
FD01,5,30,
FD05,3,15,
FD07,5,15,
FH01,5,80,
FH02,,,
FH03,2,40,
FH04,5,80,
GJ01,15,100,
GJ02,,,
GJ03,20,100,
GJ04,10,30,
GP01,15,30,
GS01,2,30,
HF01,,,
HJ01,20,300,
JB01,10,90,
JB03,10,90,
JB04,5,90,
JB04,,,
JB05,,,
JB06,,,
JC01,,,
JC02,5,60,
JC03,,,
JC04,,,
JC05,,,
JC06,,,
JC07,15,100,
JC08,15,100,
JD01,,,
JD02,,,
JD03,,,
JG01,2,70,
JP04,,,
