index,search_keywords,scrape_url,num_srp,time_stamp,user_id,store_name,item_id,store_url,item_title,item_pic,item_url,item_price,shipping_fee,item_location,reserve_price,qty_paid,review_cnt,taobao_tmall,store_rating,ratesum,favorableRate,industry,store_rating_industry_avg,rating_as_described,rad_above_avg,rad_re_avg,rating_service_attitude,rsa_above_avg,rsa_re_avg,rating_shipping,rsh_above_avg,rsh_re_avg,taobao_enterprise,rating_total,seller_reputation,other,rank
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:02,197232874,绿森数码官方旗舰店,18032630127,https://click.simba.taobao.com/cc_im?p=700d&s=212889929&k=345&e=1o3xzn1WZPW1aKEfAuZoQ2rUbNg%2BNXpfkhoubDOdHfUGmOUc53lo5OJUAWJpF0UNtdXFRGKY8fA8Zu92anR2%2BBdCJqIJWaVwI%2BCbikXMzCeAQoRIEGkwbWnZjTlaOiPNym4wtXTnf2EEdC9Q3UZ%2FK7ARNnQsOTHrxtWAVdGOJnmCMT9EaIXwG7mCMm0sYSeEwKgBFNrBFvmH3efJSpJvMxbjplKc6neJ%2Bp65qYBXk1vIVyfvL7gx7mrlLAsha92fXRggQwSuc%2B3%2F09vMxiklzIQgC6Ia64pwKaFi2hcPhhYOe%2Bomdn0%2Frn4Zuu6awVGleqnAWvF4eeRq1GzYPjV6Xw%3D%3D,12期免息送清洁器 EOS 700D套机(18-135mm),//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/125810127323462566/TB20RSsfVXXXXa9XpXXXXXXXXXX_!!13022581-0-saturn_solar.jpg,https://click.simba.taobao.com/cc_im?p=700d&s=1306259634&k=301&e=zN7si0jrIm5ikejHVv6Hx0kM5h%2FmjnXH6%2B2B2Dy0l8%2FP9JednWhFLD1Hq9z6jjPbDv7vj3yi8RY5JeBPm9IZ9f7VjXACvN5ZTuPQzsYlE%2B56dnNZx0o2siukClke2YIgIG6qccFnJF69DArCHEhUTOhYB8EzZrZ8qvA0sggxXB6lEsnu5nSxn6mwvaxKDX2MxtK%2FhBUQ9c27ktl0NdWafBocFAp188GygL3oZQBnqV1j3IdYlLdeZiD9VOU4Co8gzL7r4M4r%2BKSHn5XXqKGYTI9uK9NSr%2BQ7uogZsp%2Bpaw8%3D,4498.00,0.00,,4499.0,18人付款,0,",,,,,,,,,,,,,掌柜热卖宝贝|||年货节精选|||年货节购物券|||天猫宝贝|||退货运费险",0
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:02,2124156138,搜酷数码专营店,44231886556,//store.taobao.com/shop/view_shop.htm?user_number_id=2124156138,【降160限量80台】蚂蚁摄影单反数码相机Canon/佳能 700D套机联保,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/TB1UM5eLpXXXXXCXpXXXXXXXXXX_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=44231886556&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,3458.00,0.00,山东 烟台,3958.00,200人付款,1061,"tmall""","1×蓝冠""","11""",100.00%,3C数码,100%,"4.92""",1,39.94%,"4.90""",1,46.38%,"4.85""",1,33.84%,0,"100""","11""",年货节精选|||年货节购物券|||天猫宝贝|||退货运费险,11
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:03,2124156138,搜酷数码专营店,44796687857,//store.taobao.com/shop/view_shop.htm?user_number_id=2124156138,【送180大礼包】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机,//g-search2.alicdn.com/img/bao/uploaded/i4/i3/TB1cyFyLpXXXXbIXFXXXXXXXXXX_!!0-item_pic.jpg,//detail.tmall.com/item.htm?id=44796687857&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,4598.00,0.00,山东 烟台,5108.90,67人付款,252,"tmall""","1×蓝冠""","11""",100.00%,3C数码,100%,"4.92""",1,39.94%,"4.90""",1,46.38%,"4.85""",1,33.84%,0,"100""","11""",年货节精选|||年货节购物券|||天猫宝贝|||退货运费险,11
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:03,365616632,诚信最开心,35791346216,//store.taobao.com/shop/view_shop.htm?user_number_id=365616632,分期购 Canon/佳能 EOS 700D 套机 18-55STM 单反数码相机 700D,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/TB1lTCxKVXXXXbHXVXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=35791346216&ns=1&abbucket=0#detail,2339.00,0.10,广东 深圳,2339.00,111人付款,355,"taobao""","2×蓝冠""","12""",99.53%,3C数码,100%,"4.96""",1,78.90%,"4.97""",1,80.37%,"4.96""",1,80.40%,0,"99.53""","12""",年货节购物券|||金牌卖家|||2天内发货,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:03,1038845961,1号淘宝店,38663832002,//store.taobao.com/shop/view_shop.htm?user_number_id=1038845961,【大陆行货 全国联保】 佳能EOS 700D套机18-55 STM 18-135 STM,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/TB16HsdGXXXXXb5XFXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=38663832002&ns=1&abbucket=0#detail,2450.00,0.00,上海,2722.22,159人付款,583,"taobao""","1×蓝冠""","11""",99.71%,3C数码,100%,"4.99""",1,91.89%,"4.99""",1,91.14%,"4.99""",1,91.97%,0,"99.71""","11""",金牌卖家|||1天内发货,11
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:04,380606600,zhangweizhou8,522178542327,//store.taobao.com/shop/view_shop.htm?user_number_id=380606600,佳能700d单机佳能700d18-55套机佳能700d18-135套机 正品国行,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1CBlZKVXXXXXmXVXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=522178542327&ns=1&abbucket=0#detail,2450.00,0.00,江苏 南京,3062.50,344人付款,307,"taobao""","2×蓝冠""","12""",99.59%,3C数码,100%,"4.92""",1,56.94%,"4.92""",1,50.67%,"4.92""",1,58.81%,0,"99.58""","12""",,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:04,798505308,tb3902486_11,16831203027,//store.taobao.com/shop/view_shop.htm?user_number_id=798505308,最新现货 送微距环Canon/佳能EOS 700D套机(18-55mm)STM单反相机,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1pqMFLXXXXXaTXXXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=16831203027&ns=1&abbucket=0#detail,1900.00,0.00,广东 深圳,2533.33,231人付款,1241,"taobao""","2×蓝冠""","12""",99.93%,3C数码,100%,"4.97""",1,83.52%,"4.97""",1,84.21%,"4.98""",1,89.27%,0,"99.92""","12""",年货节购物券|||金牌卖家|||1天内发货|||8天退货|||退货运费险,12
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:05,712156420,10数码男生,40275639106,//store.taobao.com/shop/view_shop.htm?user_number_id=712156420,拍下送现金Canon/佳能70D套机18-135IS STM单反数码相机胜700D,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/TB1n_SvLXXXXXa.XVXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=40275639106&ns=1&abbucket=0#detail,4200.00,0.00,广东 深圳,4200.00,77人付款,1431,"taobao""","3×蓝冠""","13""",99.89%,3C数码,100%,"4.97""",1,86.17%,"4.98""",1,85.79%,"4.98""",1,87.26%,0,"99.89""","13""",年货节购物券|||金牌卖家,13
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:05,20807624,sheaere,36910165248,//store.taobao.com/shop/view_shop.htm?user_number_id=20807624,【十五天包退】佳能700d 套机18-55mm 18-135 STM单反相机单机EOS,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1JsvZLXXXXXcyXXXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=36910165248&ns=1&abbucket=0#detail,2298.00,0.00,山东 淄博,2872.50,113人付款,667,"taobao""","4×蓝冠""","14""",99.97%,3C数码,100%,"4.93""",1,59.51%,"4.95""",1,65.55%,"4.93""",1,63.76%,0,"99.96""","14""",年货节购物券|||金牌卖家|||1天内发货|||15天退货|||退货运费险,14
700D,,https://s.taobao.com/search?q=700d&imgfile=&js=1&style=list&stats_click=search_radio_all%3A1&initiative_id=staobaoz_20160112&ie=utf8&s=0,1,2016-01-13 20:17:06,724459891,时尚52shou,522731191237,//store.taobao.com/shop/view_shop.htm?user_number_id=724459891,全新正品Canon/佳能EOS 1200D套机18-55mm高清单反数码相机媲700D,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/TB1Xau5JVXXXXXaXpXXXXXXXXXX_!!0-item_pic.jpg,//item.taobao.com/item.htm?id=522731191237&ns=1&abbucket=0#detail,1600.00,0.00,广东 深圳,2000.00,156人付款,467,"taobao""","2×蓝冠""","12""",99.65%,3C数码,100%,"4.96""",1,79.43%,"4.97""",1,81.38%,"4.97""",1,82.04%,0,"99.64""","12""",年货节购物券|||金牌卖家|||9天退货|||退货运费险,12
